city,Locality,rooms,bathroom,parking_spaces,floor,association_tax,rent_amount,property_tax,fire_insurance,total_rent,animal_allowed,furnishing,rooms_outlier,bathrooms_outlier,parking_outlier
Mumbai,malad west,1,1,0,1,690,2550,54,39,3333,1,1,0,0,0
Bangalore,kothannur,1,1,0,2,0,8100,15,105,8220,1,0,0,0,0
Delhi,vasant kunj,3,2,2,2,2550,7500,750,99,10899,1,1,0,0,0
Chennai,thalambur,4,4,4,15,11400,33000,3240,420,48060,1,0,0,0,0
Bangalore,uttarahalli,2,1,1,6,2400,3825,0,51,6276,1,0,0,0,0
Mumbai,thane west,1,1,1,6,1170,8970,0,132,10272,1,1,0,0,0
Mumbai,khopoli,4,3,2,4,6000,9600,975,141,16716,1,0,0,0,0
Bangalore,dodsworth layout,3,1,3,17,2490,20100,1200,255,24045,1,1,0,0,0
Bangalore,vidyaranyapura,5,3,6,6,0,31500,5001,474,36990,1,0,0,0,1
Bangalore,hennur bande,5,6,3,6,0,26550,2874,402,29826,1,0,0,0,0
Bangalore,nallurhalli,8,4,6,6,0,75000,6600,1128,82740,1,0,1,0,1
Bangalore,yeshwanthpur,4,5,3,3,14010,18000,3585,231,35820,1,1,0,0,0
Kolkata,alipore,4,2,2,3,2331,6000,711,81,9123,1,0,0,0,0
Bangalore,battarahalli,3,2,2,4,3939,10800,1242,138,16119,1,1,0,0,0
Bangalore,electronic city,3,3,2,6,360,6000,0,93,6453,0,0,0,0,0
Mumbai,bhiwandi,4,3,3,6,0,13200,627,237,14064,1,1,0,0,0
Bangalore,bommasandra,3,3,1,1,3675,17400,1125,222,22422,1,0,0,0,0
Kolkata,alipore,4,2,2,3,2631,5850,813,78,9372,1,0,0,0,0
Mumbai,kolshet road,4,4,3,6,0,7500,786,135,8421,1,0,0,0,0
Mumbai,bhiwandi,4,4,4,6,3,27000,1077,480,28560,1,1,0,0,0
Kolkata,new alipore,2,1,1,2,750,3900,90,54,4794,1,0,0,0,0
Bangalore,hormavu,3,2,3,6,0,15000,0,228,15228,1,0,0,0,0
Delhi,vasant kunj,2,2,0,4,2205,3000,291,39,5535,1,0,0,0,0
Bangalore,kanakpura road,2,1,1,4,1467,5700,0,75,7242,1,1,0,0,0
Bangalore,sarjapur  road,2,1,1,9,1884,9300,324,120,11628,1,1,0,0,0
Bangalore,varthur,1,2,1,4,7200,36000,1050,459,44700,1,1,0,0,0
Delhi,hauz khas,3,2,1,4,5871,20400,1539,264,28074,1,1,0,0,0
Bangalore,hebbal,5,6,2,6,0,27000,2151,408,29559,1,0,0,0,0
Kolkata,rajarhat,3,1,1,2,900,4500,255,60,5715,1,0,0,0,0
Kolkata,tangra,2,2,2,3,2010,6000,531,81,8622,1,0,0,0,0
Kolkata,khardah,7,7,4,6,0,26700,2829,438,29967,1,1,0,1,0
Bangalore,begur road,4,2,2,3,7680,24000,1950,306,33930,0,0,0,0,0
Delhi,dwarka mor,2,1,1,2,2250,6600,279,87,9216,1,0,0,0,0
Delhi,vasant kunj,2,2,1,3,1800,3600,51,48,5499,1,0,0,0,0
Bangalore,bannerghatta road,3,2,1,18,3450,15900,501,204,20055,1,0,0,0,0
Kolkata,tiljala,4,4,0,6,0,11820,0,195,12015,1,0,0,0,0
Mumbai,vikhroli,2,1,0,2,900,3900,192,57,5049,1,0,0,0,0
Bangalore,chandapura,3,1,1,11,1530,5400,0,69,6999,1,0,0,0,0
Bangalore,whitefield,1,1,0,6,0,2250,0,36,2286,0,0,0,0,0
Bangalore,hosur road,3,3,2,1,5925,8700,1377,111,16113,1,1,0,0,0
Bangalore,electronic city,4,2,2,6,0,10500,126,159,10785,1,0,0,0,0
Kolkata,salap,4,4,4,1,6855,25500,3597,342,36300,1,1,0,0,0
Delhi,paschim vihar,1,1,0,1,885,3300,0,45,4230,1,0,0,0,0
Bangalore,kaverappa layout,4,7,6,6,0,23970,900,363,25233,1,0,0,1,1
Bangalore,talaghattapura,2,3,2,5,6000,36900,1626,468,45000,0,0,0,0,0
Delhi,mahavir enclave,2,1,1,8,1590,5880,138,78,7686,1,1,0,0,0
Bangalore,7th phase jp nagar,1,1,0,6,0,3000,102,48,3150,0,0,0,0,0
Bangalore,vasanth nagar,5,5,6,6,0,45000,5751,678,51420,1,0,0,0,1
Bangalore,rachenahalli,3,1,1,1,1368,8400,63,108,9939,1,1,0,0,0
Mumbai,virar,2,1,0,1,0,3000,0,45,3045,1,0,0,0,0
Mumbai,mira road east,2,1,0,6,300,2100,300,33,2733,1,0,0,0,0
Kolkata,dum dum,1,2,0,4,975,3900,162,54,5091,1,0,0,0,0
Kolkata,keshtopur,3,2,2,3,4050,4800,324,66,9240,1,0,0,0,0
Mumbai,kanjurmarg,1,1,0,2,300,2880,225,45,3450,1,0,0,0,0
Bangalore,tumkur road,3,2,1,6,0,19200,177,291,19668,1,0,0,0,0
Bangalore,9th phase jp nagar,1,1,1,8,1800,10200,240,132,12372,1,1,0,0,0
Bangalore,hegde nagar,2,1,1,2,3240,12900,354,165,16659,1,0,0,0,0
Chennai,pammal,1,1,0,8,1440,1500,42,21,3003,1,0,0,0,0
Delhi,sector 10 dwarka,2,1,1,8,2997,3825,375,51,7248,1,0,0,0,0
Bangalore,karuna nagar,3,2,5,6,0,10065,645,153,10863,0,0,0,0,1
Bangalore,lingadheeranahalli,2,3,2,18,4200,10650,1476,135,16461,1,0,0,0,0
Bangalore,chandapura,2,1,1,8,3246,11460,402,147,15255,1,1,0,0,0
Bangalore,kannamangala,1,1,0,8,1200,3390,90,45,4725,1,0,0,0,0
Chennai,somangalam,3,2,2,6,0,7500,1266,114,8880,1,0,0,0,0
Delhi,vasant vihar,2,2,1,2,2700,8250,825,108,11883,0,1,0,0,0
Delhi,greater kailash ii,2,1,1,4,1350,5100,300,66,6816,1,0,0,0,0
Bangalore,sarjapur,1,1,0,3,900,1800,120,24,2844,0,1,0,0,0
Bangalore,gm palaya,3,2,1,7,5889,10500,1746,135,18270,0,0,0,0,0
Delhi,chattarpur,2,1,1,5,2070,4500,75,60,6705,1,0,0,0,0
Bangalore,chandapura,2,1,1,8,1800,5100,276,66,7242,1,1,0,0,0
Bangalore,marathahalli,3,2,5,6,0,34500,6000,519,41010,1,0,0,0,1
Delhi,sector 12 dwarka,4,3,2,5,6900,27000,2001,348,36240,1,0,0,0,0
Bangalore,7th phase jp nagar,2,1,1,7,960,3870,0,51,4881,0,0,0,0,0
Mumbai,seawoods,3,3,0,6,1650,7500,216,135,9501,0,0,0,0,0
Bangalore,thigalarapalya,3,4,3,6,11700,39000,4251,495,55440,1,0,0,0,0
Kolkata,new town,3,2,1,2,1500,3750,258,51,5559,1,0,0,0,0
Delhi,ranjeet nagar,3,3,2,4,6489,15000,1131,195,22815,1,0,0,0,0
Delhi,defence colony,2,1,1,6,3600,11400,750,147,15897,0,0,0,0,0
Bangalore,margondanahalli,1,1,1,10,2286,10500,195,135,13116,0,1,0,0,0
Bangalore,rajaji nagar,3,2,1,4,3402,23700,1158,303,28563,0,1,0,0,0
Kolkata,bhawanipur,3,3,2,6,2100,5760,627,78,8565,1,0,0,0,0
Bangalore,rachenahalli,2,2,1,6,1560,6165,0,81,7806,0,0,0,0,0
Bangalore,begur road,4,3,4,4,9600,33000,3000,420,46020,1,0,0,0,0
Bangalore,raja rajeshwari nagar,1,1,0,7,1395,3600,0,48,5043,0,0,0,0,0
Bangalore,kalkere,3,3,2,19,8700,42000,2694,534,53940,1,1,0,0,0
Bangalore,kanakpura road,3,3,2,6,0,8100,819,123,9042,1,0,0,0,0
Bangalore,kothannur,1,1,0,1,0,3600,177,48,3825,0,0,0,0,0
Mumbai,kalamboli,3,3,2,6,0,24000,627,429,25056,1,0,0,0,0
Bangalore,5th phase jp nagar,1,1,1,4,1425,6600,231,84,8340,0,0,0,0,0
Chennai,singaperumal koil,3,3,2,4,3000,11412,0,147,14559,1,0,0,0,0
Bangalore,kanakpura road,3,1,1,15,1668,6600,12,93,8373,1,1,0,0,0
Delhi,punjabi bagh,3,2,1,2,5700,4050,420,54,10224,1,0,0,0,0
Mumbai,warai,1,1,0,6,540,2400,60,36,3036,1,0,0,0,0
Bangalore,raja rajeshwari nagar,1,1,0,6,1260,4980,0,66,6306,1,1,0,0,0
Kolkata,mankundu,2,1,1,3,300,3150,252,42,3744,1,0,0,0,0
Bangalore,hennur road,2,1,1,2,3000,9000,150,117,12267,1,0,0,0,0
Kolkata,jodhpur park,3,1,1,4,900,2700,168,36,3804,1,0,0,0,0
Chennai,urapakkam,2,1,1,7,744,2940,231,39,3954,1,0,0,0,0
Kolkata,new town,3,1,1,4,720,3300,300,45,4365,1,0,0,0,0
Bangalore,hormavu,3,5,3,10,4944,10440,3255,135,18774,1,1,0,0,0
Bangalore,hennur road,3,3,2,12,2691,10500,0,135,13326,0,0,0,0,0
Bangalore,electronics city phase 1,3,2,2,6,0,12000,801,183,12984,1,0,0,0,0
Kolkata,madhyamgram,2,1,1,1,300,2745,189,39,3273,1,0,0,0,0
Delhi,ismailpur road,4,3,0,6,7950,13500,2076,174,23700,1,0,0,0,0
Bangalore,electronic city phase ii,1,1,1,8,1974,10500,369,135,12978,0,1,0,0,0
Bangalore,hebbal,4,2,8,6,0,39120,1500,591,41220,1,0,0,0,1
Chennai,kolathur,3,1,1,7,2997,3270,282,42,6591,1,0,0,0,0
Bangalore,gollahalli,5,5,4,6,0,21000,1500,318,22818,1,0,0,0,0
Bangalore,kengeri,4,5,4,7,9720,37500,2751,477,50460,1,0,0,0,0
Delhi,mehrauli,3,1,0,6,0,4800,120,75,4995,1,0,0,0,0
Bangalore,electronic city,2,2,2,6,5100,19500,126,249,24975,1,1,0,0,0
Bangalore,seegehalli,3,2,2,1,2190,9000,909,117,12216,1,0,0,0,0
Kolkata,park circus,3,2,2,7,3882,6600,717,90,11289,0,0,0,0,0
Kolkata,amtala,1,1,1,15,1230,8070,516,108,9924,0,1,0,0,0
Mumbai,khar west,2,1,1,2,1146,2700,186,42,4074,1,0,0,0,0
Bangalore,thanisandra,3,2,2,8,4878,9000,0,117,13995,1,0,0,0,0
Delhi,uttam nagar,2,2,1,12,3000,4080,828,54,7962,1,0,0,0,0
Mumbai,titwala,2,2,2,1,720,4800,252,72,5844,1,0,0,0,0
Mumbai,bhandup west,3,1,0,3,750,5610,177,84,6621,1,1,0,0,0
Bangalore,bommenahalli,4,4,4,2,5400,10170,2325,129,18024,1,0,0,0,0
Bangalore,giri nagar,3,4,2,13,8700,37500,2745,477,49410,1,0,0,0,0
Bangalore,uttarahalli,1,1,1,2,0,3600,0,48,3648,0,0,0,0,0
Kolkata,barisha purba para road,3,2,2,3,810,3900,303,54,5067,1,0,0,0,0
Mumbai,nilje gaon,3,3,3,2,2100,12540,501,186,15327,1,1,0,0,0
Bangalore,whitefield,2,1,0,6,0,3600,126,57,3783,1,0,0,0,0
Kolkata,sodepur,2,2,2,6,2469,12600,1152,168,16389,0,1,0,0,0
Kolkata,madhyamgram,2,1,1,3,690,3300,84,45,4119,1,0,0,0,0
Chennai,veppampatttu,3,1,1,1,1950,3900,51,51,5952,1,0,0,0,0
Bangalore,yelahanka,1,1,1,1,3300,4800,480,63,8643,0,1,0,0,0
Mumbai,mumbai,3,2,1,9,3150,12000,375,177,15702,1,1,0,0,0
Mumbai,thane west,1,1,0,9,1500,2550,126,39,4215,1,0,0,0,0
Delhi,rajinder nagar,2,2,0,4,2100,5850,264,78,8292,1,0,0,0,0
Bangalore,yeshwanthpur,4,4,3,1,9000,30000,0,381,39390,1,1,0,0,0
Bangalore,vittasandra,3,3,2,12,2214,10200,345,132,12891,1,0,0,0,0
Delhi,ramesh nagar,4,3,1,4,4710,10500,1518,138,16866,1,0,0,0,0
Kolkata,tollygunge,4,3,2,6,0,39000,708,642,40350,1,0,0,0,0
Bangalore,thanisandra,4,4,2,6,0,16575,501,252,17328,1,0,0,0,0
Bangalore,tc palaya,1,1,0,18,1050,3900,63,51,5064,1,1,0,0,0
Bangalore,rajaji nagar,3,2,1,6,0,7500,1263,114,8877,0,0,0,0,0
Bangalore,arekere,2,3,3,15,7800,27600,750,351,36510,1,1,0,0,0
Mumbai,virar,1,1,1,9,3240,9900,351,147,13638,0,1,0,0,0
Bangalore,hebbal,3,3,2,6,0,21000,1251,318,22569,0,1,0,0,0
Kolkata,new town,3,2,1,3,750,3600,207,48,4605,1,0,0,0,0
Bangalore,old airport road,3,1,1,6,1380,9450,0,120,10950,1,0,0,0,0
Bangalore,nagarbhavi,4,4,4,4,9741,45000,4767,573,60090,1,0,0,0,0
Bangalore,kammasandra,4,3,4,6,0,9900,501,150,10551,1,0,0,0,0
Kolkata,maheshtala,2,1,2,3,615,6300,297,84,7296,0,1,0,0,0
Bangalore,ramamurthy nagar,3,2,1,21,1503,8700,84,111,10398,1,0,0,0,0
Delhi,lajpat nagar ii,3,2,3,9,10047,39600,1911,513,52080,1,0,0,0,0
Bangalore,bannerghatta road,1,2,0,6,0,2283,387,30,2700,1,0,0,0,0
Bangalore,anekal,3,2,1,4,3000,9000,150,117,12267,1,0,0,0,0
Kolkata,jodhpur park,1,1,1,6,4500,4200,474,57,9231,0,0,0,0,0
Delhi,greater kailash,1,1,0,6,150,2100,0,30,2280,1,0,0,0,0
Bangalore,bommasandra industrial area,5,7,3,6,0,39000,3252,588,42840,1,1,0,1,0
Bangalore,iblur village,3,3,3,4,4200,13350,990,171,18711,1,1,0,0,0
Bangalore,parappana agrahara,2,1,1,3,2130,8430,651,108,11319,0,0,0,0,0
Bangalore,kanakpura road,2,1,1,5,2025,4650,0,60,6735,1,0,0,0,0
Delhi,patel nagar,4,2,1,11,6000,10500,501,138,17139,1,0,0,0,0
Kolkata,garia station road,6,2,3,6,0,7800,414,129,8343,1,0,0,0,0
Bangalore,kasavanhalli,3,2,1,7,3600,3600,1050,48,8298,1,0,0,0,0
Bangalore,devanahalli,2,2,0,15,1770,4650,456,60,6936,0,0,0,0,0
Bangalore,frazer town,3,2,2,6,0,22500,3000,339,25839,1,0,0,0,0
Delhi,sector 6 dwarka,4,5,3,7,11550,38250,2250,495,52560,1,0,0,0,0
Bangalore,varthur,1,1,0,3,1650,6300,0,81,8031,1,0,0,0,0
Bangalore,raja rajeshwari nagar,1,1,0,15,900,4500,0,60,5460,1,0,0,0,0
Bangalore,malleshwaram,2,2,1,11,2760,11970,0,153,14883,1,0,0,0,0
Bangalore,old madras road,3,4,2,11,9474,45000,3300,573,58350,1,0,0,0,0
Kolkata,salt lake city,3,3,4,6,0,15000,1362,246,16608,1,0,0,0,0
Bangalore,7th phase jp nagar,2,1,1,6,720,4410,90,57,5277,0,0,0,0,0
Kolkata,keshtopur,4,2,3,1,2700,9900,1020,132,13752,1,1,0,0,0
Bangalore,budigere,1,2,1,5,3120,18000,687,231,22038,1,0,0,0,0
Delhi,chattarpur,3,2,1,1,2526,3000,189,39,5754,1,1,0,0,0
Bangalore,rachenahalli,2,1,0,9,1191,5340,0,69,6600,1,1,0,0,0
Mumbai,kandivali east,2,1,0,6,0,2850,0,51,2901,1,0,0,0,0
Bangalore,basavangudi,3,2,2,11,1956,3870,270,51,6147,1,0,0,0,0
Bangalore,electronics city phase 1,3,3,2,6,0,7500,21,114,7635,1,0,0,0,0
Chennai,veppampatttu,1,1,2,6,0,4350,15,66,4431,1,0,0,0,0
Chennai,sithalapakkam,4,4,8,6,0,15300,960,231,16491,1,0,0,0,1
Chennai,west tambaram,1,1,1,2,2070,7800,393,99,10362,1,0,0,0,0
Bangalore,begur road,6,2,2,6,0,10800,375,165,11340,1,0,0,0,0
Bangalore,somasundara palya,1,1,0,6,1290,6900,0,90,8280,1,1,0,0,0
Bangalore,choodasandra,3,2,1,7,6000,22800,714,291,29805,0,0,0,0,0
Kolkata,raypur,5,4,2,6,0,18000,2424,297,20721,1,0,0,0,0
Bangalore,5th block hbr layout,3,3,0,6,6168,7200,600,93,14061,1,0,0,0,0
Bangalore,varthur,3,2,1,4,1200,3900,225,51,5376,1,0,0,0,0
Bangalore,kanakpura road,2,1,0,15,2970,7500,150,96,10716,1,1,0,0,0
Mumbai,bandra,3,3,4,6,0,17580,102,315,17997,1,1,0,0,0
Delhi,uttam nagar west,1,1,0,3,1575,7800,288,102,9765,0,1,0,0,0
Bangalore,ambedkar colony,4,5,5,21,17100,45000,8931,573,71610,0,1,0,0,1
Chennai,kilkattalai,5,7,4,17,16143,30000,3300,381,49830,1,0,0,1,0
Bangalore,yelahanka,1,1,1,8,1320,8400,300,108,10128,0,0,0,0,0
Bangalore,1st block jayanagar,3,2,2,20,3600,13500,1251,174,18525,1,1,0,0,0
Kolkata,keshtopur,3,3,3,6,0,17850,438,294,18582,1,0,0,0,0
Kolkata,tollygunge,4,3,2,6,0,43500,1209,714,45420,1,0,0,0,0
Bangalore,maruthi sevanagar,4,5,4,13,8400,45000,4320,573,58290,1,1,0,0,0
Delhi,sector 22 rohini,1,1,0,8,1500,3900,126,51,5577,1,0,0,0,0
Mumbai,samtanagar thakur village,3,3,2,6,3300,16335,792,240,20667,1,0,0,0,0
Bangalore,koramangala,1,1,1,4,1899,10200,342,132,12573,1,0,0,0,0
Bangalore,mahadevpura,1,1,1,5,900,5100,150,66,6216,1,1,0,0,0
Kolkata,sector 1 salt lake city,3,3,3,4,978,7200,753,96,9027,1,0,0,0,0
Bangalore,1st phase jp nagar,3,2,2,6,0,4800,0,75,4875,1,0,0,0,0
Bangalore,sonnenahalli,2,2,3,3,7500,14400,3375,183,25458,1,0,0,0,0
Bangalore,kengeri,4,2,3,1,10800,15000,4653,192,30660,1,0,0,0,0
Kolkata,kaikhali,1,1,0,1,0,2100,0,30,2130,0,1,0,0,0
Mumbai,borivali east,1,1,0,2,0,3210,168,48,3426,1,0,0,0,0
Bangalore,8th phase jp nagar,2,1,1,7,1470,4974,111,66,6621,1,0,0,0,0
Bangalore,thyagaraja nagar,4,5,3,3,0,45000,0,573,45570,1,0,0,0,0
Kolkata,tangra,2,1,1,2,600,3300,273,45,4218,1,0,0,0,0
Kolkata,baruipur,1,1,0,13,1125,2550,165,36,3876,1,0,0,0,0
Kolkata,nager bazar,1,1,1,6,0,11700,486,192,12378,0,0,0,0,0
Delhi,rohini sector 24,3,2,1,4,7050,15000,999,195,23244,1,0,0,0,0
Kolkata,new alipore,1,1,1,9,810,4200,303,57,5370,1,0,0,0,0
Bangalore,haralur road,4,3,2,13,3600,11400,660,147,15807,1,0,0,0,0
Bangalore,gottigere,2,1,1,8,1050,5400,150,69,6669,1,1,0,0,0
Bangalore,kanakpura road,1,1,1,7,3111,6069,0,78,9258,0,0,0,0,0
Bangalore,hulimavu,1,1,1,7,1740,9000,24,117,10881,0,1,0,0,0
Bangalore,kr puram,3,1,1,7,1800,5400,363,69,7632,1,1,0,0,0
Bangalore,raja rajeshwari nagar,1,1,0,3,450,2550,0,33,3033,0,0,0,0,0
Bangalore,marathahalli,2,3,2,6,0,9600,0,147,9747,1,1,0,0,0
Bangalore,jigani,3,3,5,6,0,45000,3375,678,49050,1,1,0,0,1
Bangalore,hsr layout,1,1,0,8,1440,3660,75,48,5223,0,0,0,0,0
Chennai,sholinganallur,2,1,1,6,0,3900,540,60,4500,1,0,0,0,0
Bangalore,chikkabanavar,2,3,2,5,6195,29400,1500,375,37470,0,0,0,0,0
Chennai,navallur,3,2,2,8,2100,6000,435,78,8613,1,0,0,0,0
Mumbai,thane west,2,1,1,3,900,2460,96,36,3492,1,0,0,0,0
Bangalore,bhoganhalli,2,1,1,4,4500,6297,750,81,11628,1,0,0,0,0
Bangalore,sector 2 hsr layout,1,1,1,10,4500,9150,600,117,14367,0,1,0,0,0
Bangalore,laggere,3,3,2,6,0,22500,1950,339,24789,1,1,0,0,0
Bangalore,7th phase jp nagar,1,1,0,12,1239,10200,243,132,11814,0,0,0,0,0
Bangalore,bommenahalli,3,5,3,12,7500,21000,2250,267,31020,1,1,0,0,0
Mumbai,nalasopara east,3,2,2,4,2010,10200,600,150,12960,1,0,0,0,0
Delhi,malviya nagar,2,2,0,2,450,5100,252,66,5868,0,0,0,0,0
Delhi,mansa ram park,3,3,2,4,6228,15000,1071,195,22494,1,0,0,0,0
Chennai,kelambakkam,2,1,1,1,1050,4191,240,54,5535,1,0,0,0,0
Mumbai,dombivali east,2,2,0,2,930,3300,114,51,4395,1,0,0,0,0
Bangalore,mallasandra,3,4,2,8,5400,33000,1776,420,40590,1,1,0,0,0
Mumbai,kanjurmarg,1,1,0,2,300,2880,225,45,3450,1,0,0,0,0
Bangalore,rachenahalli,2,1,1,1,1500,7140,360,93,9093,1,1,0,0,0
Bangalore,electronic city,3,1,1,10,2100,4200,0,54,6354,1,0,0,0,0
Bangalore,thanisandra,3,2,6,6,0,6900,528,105,7533,1,0,0,0,1
Bangalore,hulimavu,1,1,0,7,600,4950,0,63,5613,1,0,0,0,0
Chennai,ambattur,3,3,2,6,1680,9600,264,147,11691,1,0,0,0,0
Mumbai,wadala,1,1,0,4,1020,4500,207,66,5793,1,0,0,0,0
Kolkata,agarpara,2,2,0,18,1200,3300,0,45,4545,1,0,0,0,0
Kolkata,nager bazar,4,4,4,9,8070,23100,3174,309,34650,1,0,0,0,0
Bangalore,channasandra,3,2,2,6,450,6600,594,102,7746,0,0,0,0,0
Bangalore,vasanth nagar,4,6,5,6,0,19650,5100,297,25047,1,0,0,0,1
Delhi,khanpur,2,1,1,7,2262,2250,132,30,4674,1,0,0,0,0
Kolkata,ballygunge,2,1,1,11,1200,1500,90,21,2811,1,0,0,0,0
Bangalore,hbr layout,2,3,3,15,4500,27000,1680,345,33540,1,0,0,0,0
Mumbai,majiwada,3,4,2,6,1890,27000,1125,480,30510,1,1,0,0,0
Kolkata,madhyamgram,1,1,1,4,1590,5550,606,75,7821,0,1,0,0,0
Bangalore,yeshwanthpur,4,3,3,6,0,21000,2700,318,24018,1,0,0,0,0
Chennai,kelambakkam,1,1,1,2,1089,2100,135,27,3351,1,0,0,0,0
Delhi,kundli,4,2,1,7,5832,10500,1071,138,17541,1,1,0,0,0
Kolkata,behala,1,1,0,1,0,3300,24,45,3369,0,0,0,0,0
Bangalore,rajaji nagar,3,2,2,4,2400,10500,0,135,13035,1,1,0,0,0
Bangalore,kr puram,1,1,1,2,5850,15000,1125,192,22167,1,1,0,0,0
Bangalore,margondanahalli,2,2,2,15,1740,7500,348,96,9684,1,0,0,0,0
Bangalore,hennur,1,1,1,4,1458,9600,0,39,11097,0,0,0,0,0
Bangalore,btm 2nd stage,2,3,4,1,9435,7500,2709,96,19740,0,0,0,0,0
Bangalore,hosur main road,4,5,3,5,6300,7800,1737,99,15936,1,0,0,0,0
Mumbai,vasai,1,1,0,1,297,3600,30,54,3981,1,0,0,0,0
Chennai,sholinganallur,2,1,0,1,1371,3402,165,45,4983,1,0,0,0,0
Bangalore,marathahalli,3,3,2,6,0,31500,2304,474,34290,1,0,0,0,0
Bangalore,electronic city phase ii,1,1,1,5,1500,11700,252,150,13602,1,1,0,0,0
Kolkata,rajarhat,3,2,3,15,2640,6900,699,93,10332,1,0,0,0,0
Bangalore,sarjapur  road,2,2,1,3,3300,8550,537,111,12498,1,0,0,0,0
Kolkata,new barrackpur,2,1,0,12,1425,4800,210,66,6501,0,0,0,0,0
Kolkata,vip road,2,1,1,4,390,2700,0,36,3126,0,0,0,0,0
Mumbai,mumbai,2,1,0,4,1260,3750,264,57,5331,1,0,0,0,0
Mumbai,dombivli (west),3,2,1,10,2400,5700,600,84,8784,1,0,0,0,0
Chennai,sithalapakkam,3,3,3,6,9600,13500,1602,174,24876,1,0,0,0,0
Mumbai,badlapur east,2,1,1,5,1200,3300,126,51,4677,1,0,0,0,0
Bangalore,haralur road,3,4,0,4,3600,17700,1425,225,22950,1,0,0,0,0
Bangalore,raja rajeshwari nagar,1,1,0,6,0,3300,90,42,3432,1,0,0,0,0
Bangalore,electronic city phase ii,1,1,1,4,5361,3600,432,48,9441,0,1,0,0,0
Bangalore,singasandra,1,1,1,6,1569,12000,393,153,14115,1,1,0,0,0
Delhi,paschim vihar,2,1,0,2,1440,4251,252,54,5997,1,0,0,0,0
Chennai,avadi,2,1,1,6,750,3600,120,48,4518,1,0,0,0,0
Bangalore,bellandur,4,3,2,11,5640,27000,1380,345,34380,1,1,0,0,0
